code,bench_name,current_name,lat,lon,id_trazado,tipo_esta,num_vag,area_est,long_est,ancho_est,num_acc,acc_puent,esta_oper,match_status,in_benchmark_147
02000,Cabecera Autopista Norte,Portal Norte – Unicervantes,4.75462286,-74.04604465000001,TZ002,1,1,0.0,365.66,0.0,1,1,1,geojson,True
02001,Centro Comercial Santa Fe,Calle 187,4.76333655,-74.0444437,TZ002,4,1,122.7,40.9,3.0,1,1,1,geojson,True
02101,Toberín,Toberin - Foundever,4.74618498,-74.04725485,TZ002,4,5,1206.0,335.0,3.6,1,1,1,geojson,True
02102,Calle 161,Calle 161,4.7419153,-74.04800035,TZ002,4,4,517.86,172.62,3.0,1,1,1,geojson,True
02103,Mazurén,Mazurén,4.73458855,-74.04922624,TZ002,4,5,552.416,172.63,3.2,1,1,1,geojson,True
02104,Calle 146,Calle 146,4.73089106,-74.04981123,TZ002,4,3,345.2,86.3,4.0,1,1,1,geojson,True
02105,Calle 142,Calle 142,4.72685009,-74.05050333,TZ002,4,4,663.27,221.09,3.0,1,1,1,geojson,True
02200,Alcalá,Alcalá – Colegio S. Tomás Dominicos,4.7211582,-74.05145916000001,TZ002,4,3,820.76,205.19,4.0,2,2,1,geojson,True
02201,Prado,Prado,4.71455843,-74.05255829,TZ002,4,3,592.0,148.0,4.0,1,1,1,geojson,True
02202,Calle 127,Calle 127,4.70463964,-74.05422516,TZ002,4,2,418.28,104.57,4.0,1,1,1,geojson,True
02204,Pepe Sierra,Pepe Sierra Universidad UTEL,4.69812689,-74.0553088,TZ002,4,2,418.48,104.62,4.0,1,1,1,geojson,True
02205,Calle 106,Calle 106 - Maletas Explora,4.6929826,-74.05618243,TZ002,4,4,627.42,209.14,3.0,1,1,1,geojson,True
02300,Calle 100,Calle 100 - Marketmedios,4.68394944,-74.0577123,TZ002,4,3,814.44,203.61,4.0,2,2,1,geojson,True
02302,Virrey,Virrey,4.67599737,-74.05901952,TZ002,4,3,773.12,193.28,4.0,1,1,1,geojson,True
02303,Calle 85,Calle 85,4.67231279,-74.05964363,TZ002,4,4,865.68,216.42,4.0,1,1,1,geojson,True
02304,Heroes,Héroes - Colmena Seguros,4.66813603,-74.06030995,TZ002,4,3,669.6,167.4,4.0,1,1,1,geojson,True
02502,Terminal,Terminal,4.76881876,-74.04357255,TZ002,4,1,146.37,48.79,3.0,1,1,1,geojson,True
03000,Portal Suba,Portal Suba,4.74681507,-74.0942789,TZ003,1,1,0.0,526.68,0.0,1,0,1,geojson,True
03001,LA CAMPIÑA,La Campiña,4.74265433,-74.09120046,TZ003,4,3,357.24,89.31,4.0,1,0,1,geojson,True
03002,SUBA - TV- 91,Suba - TV. 91,4.73893679,-74.08699228,TZ003,4,4,1095.56,273.89,4.0,2,1,1,geojson,True
03003,21 ANGELES,21 Ángeles,4.73550811,-74.08098652,TZ003,4,2,376.6,94.15,4.0,1,1,1,geojson,True
03004,GRATAMIRA,Gratamira,4.72745584,-74.07472334,TZ003,4,2,357.4,89.35,4.0,1,1,1,geojson,True
03005,SUBA - AV. BOYACA,Suba - AV. Boyacá,4.72126716,-74.07471163000001,TZ003,4,2,707.0,176.75,4.0,2,0,1,geojson,True
03006,NIZA - CALLE 127,Niza - Calle 127,4.71200123,-74.0723072,TZ003,4,2,374.24,93.56,4.0,2,0,1,geojson,True
03007,HUMEDAL CORDOBA,Humedal Córdoba,4.70668982,-74.07117427,TZ003,4,2,357.6,89.4,4.0,1,0,1,geojson,True
03009,Av. Suba- Calle 116,Suba - Calle 116,4.69924111,-74.06984394,TZ003,4,2,386.4,96.6,4.0,1,0,1,geojson,True
03010,PUENTE LARGO,Puentelargo,4.69340077,-74.06720874,TZ003,4,2,357.44,89.36,4.0,1,0,1,geojson,True
03011,SUBA - CALLE 100,Suba - Calle 100,4.68696834,-74.06444284000001,TZ003,4,2,357.56,89.39,4.0,1,0,1,geojson,True
03012,SUBA - CALLE 95,Suba - Calle 95,4.68469464,-74.06321827,TZ003,4,2,358.28,89.57,4.0,1,0,1,geojson,True
03013,RIO NEGRO,Rionegro,4.68035106,-74.06481662,TZ003,4,2,356.84,89.21,4.0,1,0,1,geojson,True
03014,SAN MARTIN,San Martín,4.67638966,-74.06717674,TZ003,4,2,357.48,89.37,4.0,1,0,1,geojson,True
04000,Cabecera Calle 80,Portal 80,4.70982949,-74.11050627,TZ005,1,1,0.0,281.77,0.0,1,0,1,geojson,True
04001,Quirigua,Quirigua,4.70672525,-74.10873932,TZ005,4,1,183.0,45.75,4.0,1,1,1,geojson,True
04002,Carrera 90,Carrera 90,4.70466646,-74.10457027,TZ005,4,2,568.6,142.15,4.0,1,1,1,geojson,True
04003,Avenida Ciudad de Cali,AV. Cali,4.70248285,-74.10028965000001,TZ005,2,2,568.6,142.15,4.0,1,1,1,geojson,True
04100,Carrera 77,Granja - Kr 77,4.69915096,-74.09601773,TZ005,2,4,1540.0,385.0,4.0,2,1,1,geojson,True
04101,Minuto de Dios,Minuto de Dios,4.6968816,-74.09193285,TZ005,4,2,576.0,144.0,4.0,1,1,1,geojson,True
04102,Avenida Boyaca,AV. Boyacá,4.69393268,-74.08713194,TZ005,4,2,672.6,168.15,4.0,1,1,1,geojson,True
04103,Las Ferias,Ferias,4.69088593,-74.08460127,TZ005,4,1,183.0,45.75,4.0,1,1,1,geojson,True
04104,Avenida 68,AV. 68,4.68610088,-74.08076895999999,TZ005,4,2,576.0,144.0,4.0,1,1,1,geojson,True
04105,Carrera 53,Carrera 53,4.68180475,-74.07742142,TZ005,4,1,183.0,45.75,4.0,1,1,1,geojson,True
04106,Carrera 47,Carrera 47,4.67775575,-74.07325476,TZ005,4,2,620.0,155.0,4.0,1,0,1,geojson,True
04107,Escuela Militar,Escuela Militar,4.67553501,-74.06980215,TZ005,4,2,488.0,122.0,4.0,1,1,1,geojson,True
04108,El Polo,Polo - FINCOMERCIO,4.67016265,-74.06433866,TZ005,4,3,880.0,220.0,4.0,1,1,1,geojson,True
05000,Portal Américas,Portal Américas,4.62938131,-74.17305846000001,TZ009,1,1,0.0,369.54,0.0,1,0,1,geojson,True
05001,Patio Bonito,Patio Bonito,4.63318028,-74.16461426999999,TZ009,4,4,896.4,199.2,4.5,2,0,1,geojson,True
05002,Tintal,Biblioteca Tintal,4.63790778,-74.15935249,TZ009,4,2,896.4,199.2,4.5,2,0,1,geojson,True
05005,Transversal 86,Transversal 86,4.63419465,-74.15206784,TZ009,4,2,347.13,115.71,3.0,1,1,1,geojson,True
05100,Banderas P. Central,Banderas,4.63129454,-74.14576996000001,TZ009,2,4,0.0,536.19,0.0,2,2,1,geojson,True
05101,Mandalay - Cr.73,Mandalay,4.63086366,-74.14129817,TZ009,4,2,347.115,115.705,3.0,1,1,1,geojson,True
05102,Av. Américas - Av. Boyacá,AV. Américas - AV. Boyacá,4.6301178,-74.13422457,TZ009,4,2,347.145,115.715,3.0,1,1,1,geojson,True
05103,Marsella,Marsella,4.62967723,-74.13016385,TZ009,4,3,521.145,173.715,3.0,1,1,1,geojson,True
05105,Pradera,Pradera - Plaza Central,4.62850646,-74.11867713,TZ009,4,2,268.83,89.61,3.0,1,1,1,geojson,True
05107,Américas - Cr.53,Distrito Grafiti,4.62785005,-74.11158411000001,TZ009,4,2,347.145,115.715,3.0,1,1,1,geojson,True
06000,Portal Eldorado,Portal El Dorado – C.C. Nuestro Bogotá,4.68162203,-74.12139802,TZ016,1,1,0.0,706.41,0.0,1,1,1,geojson,True
06001,Modelia,Modelia,4.67502466,-74.1171471,TZ016,4,2,288.87,96.29,3.0,1,1,1,geojson,True
06002,Normandía,Normandía,4.66900868,-74.11328003000001,TZ016,4,2,318.09,106.03,3.0,1,1,1,geojson,True
06100,Av. Rojas,Avenida Rojas - UNISALESIANA,4.66194444,-74.108772,TZ016,4,3,531.51,177.17,3.0,1,1,1,geojson,True
06101,El Tiempo,El Tiempo – Cámara de Comercio de Bogotá,4.65706705,-74.10564666,TZ016,4,2,289.44,96.48,3.0,1,1,1,geojson,True
06102,Salitre El Greco,Salitre - El Greco,4.65086482,-74.10164882000001,TZ016,4,2,289.44,96.48,3.0,1,1,1,geojson,True
06103,CAN,CAN,4.64687639,-74.09904645,TZ016,4,2,289.44,96.48,3.0,1,1,1,geojson,True
